location,name,freq,weighting,n_factors,date,ret
usa,seasonality,daily,vw_cap,1,1926-02-01,0.0019916909992537
usa,seasonality,daily,vw_cap,1,1926-02-02,-0.00178233427711156
usa,seasonality,daily,vw_cap,1,1926-02-03,0.0000705151683466189
usa,seasonality,daily,vw_cap,1,1926-02-04,0.00156149707283886
usa,seasonality,daily,vw_cap,1,1926-02-05,-0.00120624606667234
usa,seasonality,daily,vw_cap,1,1926-02-06,0.00118004415083527
usa,seasonality,daily,vw_cap,1,1926-02-08,0.00274592155453958
usa,seasonality,daily,vw_cap,1,1926-02-09,-0.00115747984683406
usa,seasonality,daily,vw_cap,1,1926-02-10,-0.00169350542782408
usa,seasonality,daily,vw_cap,1,1926-02-11,-0.00231821579685951
usa,seasonality,daily,vw_cap,1,1926-02-13,0.000757459313700592
usa,seasonality,daily,vw_cap,1,1926-02-15,0.00537904279420701
usa,seasonality,daily,vw_cap,1,1926-02-16,-0.00431348496057426
usa,seasonality,daily,vw_cap,1,1926-02-17,-0.000104943419580559
usa,seasonality,daily,vw_cap,1,1926-02-18,0.0003650138870528
usa,seasonality,daily,vw_cap,1,1926-02-19,-0.00224910332366961
usa,seasonality,daily,vw_cap,1,1926-02-20,0.00115783421954135
usa,seasonality,daily,vw_cap,1,1926-02-23,0.0027643241093829
usa,seasonality,daily,vw_cap,1,1926-02-24,-0.00186555037587951
usa,seasonality,daily,vw_cap,1,1926-02-25,-0.00276331961733333
usa,seasonality,daily,vw_cap,1,1926-02-26,-0.000897721278566209
usa,seasonality,daily,vw_cap,1,1926-02-27,0.0000525102525887047
usa,seasonality,daily,vw_cap,1,1926-03-01,0.000275186560987822
usa,seasonality,daily,vw_cap,1,1926-03-02,0.00621718783989167
usa,seasonality,daily,vw_cap,1,1926-03-03,-0.0148346378317948
usa,seasonality,daily,vw_cap,1,1926-03-04,-0.000468136296594639
usa,seasonality,daily,vw_cap,1,1926-03-05,0.00552077513954921
usa,seasonality,daily,vw_cap,1,1926-03-06,0.00163747797067261
usa,seasonality,daily,vw_cap,1,1926-03-08,-0.000480371947626386
usa,seasonality,daily,vw_cap,1,1926-03-09,0.00338555717953373
usa,seasonality,daily,vw_cap,1,1926-03-10,0.00153874515029351
usa,seasonality,daily,vw_cap,1,1926-03-11,0.00202260936669162
usa,seasonality,daily,vw_cap,1,1926-03-12,0.00113558644039224
usa,seasonality,daily,vw_cap,1,1926-03-13,-0.00138799918815902
usa,seasonality,daily,vw_cap,1,1926-03-15,-0.0002331560059165
usa,seasonality,daily,vw_cap,1,1926-03-16,0.000161494375903997
usa,seasonality,daily,vw_cap,1,1926-03-17,-0.000715654515086619
usa,seasonality,daily,vw_cap,1,1926-03-18,-0.000844180964916078
usa,seasonality,daily,vw_cap,1,1926-03-19,0.00192952989988994
usa,seasonality,daily,vw_cap,1,1926-03-20,-0.0020568881657034
usa,seasonality,daily,vw_cap,1,1926-03-22,0.00108169002710966
usa,seasonality,daily,vw_cap,1,1926-03-23,0.00215805511999655
usa,seasonality,daily,vw_cap,1,1926-03-24,0.00172583977380202
usa,seasonality,daily,vw_cap,1,1926-03-25,0.00399724857809071
usa,seasonality,daily,vw_cap,1,1926-03-26,0.000447567090477048
usa,seasonality,daily,vw_cap,1,1926-03-27,0.000134390396788843
usa,seasonality,daily,vw_cap,1,1926-03-29,-0.0043259333250641
usa,seasonality,daily,vw_cap,1,1926-03-30,-0.00393733194705164
usa,seasonality,daily,vw_cap,1,1926-03-31,0.000910330606853589
usa,seasonality,daily,vw_cap,1,1926-04-01,0.0110565616835236
usa,seasonality,daily,vw_cap,1,1926-04-03,0.00500874086455507
usa,seasonality,daily,vw_cap,1,1926-04-05,-0.00725622938266147
usa,seasonality,daily,vw_cap,1,1926-04-06,0.00289474854701313
usa,seasonality,daily,vw_cap,1,1926-04-07,0.000430328166817341
usa,seasonality,daily,vw_cap,1,1926-04-08,0.00108732719959417
usa,seasonality,daily,vw_cap,1,1926-04-09,-0.00163629051752551
usa,seasonality,daily,vw_cap,1,1926-04-10,0.00175690787875667
usa,seasonality,daily,vw_cap,1,1926-04-12,0.00770176530752255
usa,seasonality,daily,vw_cap,1,1926-04-13,-0.00951622252468328
usa,seasonality,daily,vw_cap,1,1926-04-14,0.0132612560348992
usa,seasonality,daily,vw_cap,1,1926-04-15,-0.0089281547632812
usa,seasonality,daily,vw_cap,1,1926-04-16,0.00107107031435256
usa,seasonality,daily,vw_cap,1,1926-04-17,-0.000218814647451084
usa,seasonality,daily,vw_cap,1,1926-04-19,-0.00514537755078733
usa,seasonality,daily,vw_cap,1,1926-04-20,-0.00370433625116101
usa,seasonality,daily,vw_cap,1,1926-04-21,-0.00105803741993687
usa,seasonality,daily,vw_cap,1,1926-04-22,0.00130855434132972
usa,seasonality,daily,vw_cap,1,1926-04-23,-0.00108942343274263
usa,seasonality,daily,vw_cap,1,1926-04-24,-0.00334427061523815
usa,seasonality,daily,vw_cap,1,1926-04-26,0.00502901330120372
usa,seasonality,daily,vw_cap,1,1926-04-27,0.00107330722357616
usa,seasonality,daily,vw_cap,1,1926-04-28,-0.00344920342471104
usa,seasonality,daily,vw_cap,1,1926-04-29,0.00129779834324527
usa,seasonality,daily,vw_cap,1,1926-04-30,0.00213587254613934
usa,seasonality,daily,vw_cap,1,1926-05-01,-0.00298483174312045
usa,seasonality,daily,vw_cap,1,1926-05-03,-0.00366550553967382
usa,seasonality,daily,vw_cap,1,1926-05-04,0.000142639070783989
usa,seasonality,daily,vw_cap,1,1926-05-05,0.0000542023240307204
usa,seasonality,daily,vw_cap,1,1926-05-06,0.00349693334060403
usa,seasonality,daily,vw_cap,1,1926-05-07,-0.00184402031722517
usa,seasonality,daily,vw_cap,1,1926-05-08,-0.00204894598519038
usa,seasonality,daily,vw_cap,1,1926-05-10,0.00239639394281429
usa,seasonality,daily,vw_cap,1,1926-05-11,0.0016194126219584
usa,seasonality,daily,vw_cap,1,1926-05-12,-0.000748246970880148
usa,seasonality,daily,vw_cap,1,1926-05-13,0.00303340857797913
usa,seasonality,daily,vw_cap,1,1926-05-14,-0.00293735298373186
usa,seasonality,daily,vw_cap,1,1926-05-15,-0.00254598577422644
usa,seasonality,daily,vw_cap,1,1926-05-17,0.0025538621921541
usa,seasonality,daily,vw_cap,1,1926-05-18,-0.000749143738858279
usa,seasonality,daily,vw_cap,1,1926-05-19,0.000358924454740625
usa,seasonality,daily,vw_cap,1,1926-05-20,0.00257729447589855
usa,seasonality,daily,vw_cap,1,1926-05-21,-0.00149104847998506
usa,seasonality,daily,vw_cap,1,1926-05-22,-0.00140527146196021
usa,seasonality,daily,vw_cap,1,1926-05-24,-0.000510457443702701
usa,seasonality,daily,vw_cap,1,1926-05-25,0.0000244618718326026
usa,seasonality,daily,vw_cap,1,1926-05-26,0.00216939805490013
usa,seasonality,daily,vw_cap,1,1926-05-27,0.000470238357758899
usa,seasonality,daily,vw_cap,1,1926-05-28,-0.000196440059278208
usa,seasonality,daily,vw_cap,1,1926-06-01,0.00301992339052992
usa,seasonality,daily,vw_cap,1,1926-06-02,-0.00396514948677344
