location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,vw_cap,3,1926-02-01,0.0000512688950486466
usa,short_term_reversal,daily,vw_cap,3,1926-02-02,-0.00262591355438712
usa,short_term_reversal,daily,vw_cap,3,1926-02-03,-0.00243737601470955
usa,short_term_reversal,daily,vw_cap,3,1926-02-04,0.00139495895394505
usa,short_term_reversal,daily,vw_cap,3,1926-02-05,0.00156681135841671
usa,short_term_reversal,daily,vw_cap,3,1926-02-06,-0.000957113608135827
usa,short_term_reversal,daily,vw_cap,3,1926-02-08,0.00176997259421625
usa,short_term_reversal,daily,vw_cap,3,1926-02-09,-0.000269238184062943
usa,short_term_reversal,daily,vw_cap,3,1926-02-10,0.0063087446647061
usa,short_term_reversal,daily,vw_cap,3,1926-02-11,-0.0026485104573936
usa,short_term_reversal,daily,vw_cap,3,1926-02-13,-0.00273787496631189
usa,short_term_reversal,daily,vw_cap,3,1926-02-15,0.0012546809130533
usa,short_term_reversal,daily,vw_cap,3,1926-02-16,0.000866494833626008
usa,short_term_reversal,daily,vw_cap,3,1926-02-17,-0.00018250119746814
usa,short_term_reversal,daily,vw_cap,3,1926-02-18,-0.00260426979645817
usa,short_term_reversal,daily,vw_cap,3,1926-02-19,-0.00147101835172209
usa,short_term_reversal,daily,vw_cap,3,1926-02-20,-0.000746705806285714
usa,short_term_reversal,daily,vw_cap,3,1926-02-23,-0.0000926349345799325
usa,short_term_reversal,daily,vw_cap,3,1926-02-24,0.00351943003778535
usa,short_term_reversal,daily,vw_cap,3,1926-02-25,-0.000164877049582928
usa,short_term_reversal,daily,vw_cap,3,1926-02-26,0.000212360798807351
usa,short_term_reversal,daily,vw_cap,3,1926-02-27,0.000672309927482473
usa,short_term_reversal,daily,vw_cap,3,1926-03-01,-0.000316120039129221
usa,short_term_reversal,daily,vw_cap,3,1926-03-02,-0.00541199151439428
usa,short_term_reversal,daily,vw_cap,3,1926-03-03,-0.00553512896410901
usa,short_term_reversal,daily,vw_cap,3,1926-03-04,0.01617320635548
usa,short_term_reversal,daily,vw_cap,3,1926-03-05,-0.00409698016637008
usa,short_term_reversal,daily,vw_cap,3,1926-03-06,-0.00274119941720692
usa,short_term_reversal,daily,vw_cap,3,1926-03-08,-0.00232115390697082
usa,short_term_reversal,daily,vw_cap,3,1926-03-09,0.000815731577436423
usa,short_term_reversal,daily,vw_cap,3,1926-03-10,0.00452715589455588
usa,short_term_reversal,daily,vw_cap,3,1926-03-11,0.0000537381804551114
usa,short_term_reversal,daily,vw_cap,3,1926-03-12,0.00126641185430081
usa,short_term_reversal,daily,vw_cap,3,1926-03-13,-0.00552659038906299
usa,short_term_reversal,daily,vw_cap,3,1926-03-15,-0.00290519539882813
usa,short_term_reversal,daily,vw_cap,3,1926-03-16,-0.00288419286559605
usa,short_term_reversal,daily,vw_cap,3,1926-03-17,-0.00456612250616039
usa,short_term_reversal,daily,vw_cap,3,1926-03-18,-0.00254009834680859
usa,short_term_reversal,daily,vw_cap,3,1926-03-19,-0.00144518345161216
usa,short_term_reversal,daily,vw_cap,3,1926-03-20,-0.000470363231467812
usa,short_term_reversal,daily,vw_cap,3,1926-03-22,0.0017657657606859
usa,short_term_reversal,daily,vw_cap,3,1926-03-23,-0.00281107904929039
usa,short_term_reversal,daily,vw_cap,3,1926-03-24,-0.00164179498016212
usa,short_term_reversal,daily,vw_cap,3,1926-03-25,-0.00393006310405249
usa,short_term_reversal,daily,vw_cap,3,1926-03-26,-0.0029370821070083
usa,short_term_reversal,daily,vw_cap,3,1926-03-27,-0.00537564348520868
usa,short_term_reversal,daily,vw_cap,3,1926-03-29,-0.00538853919463538
usa,short_term_reversal,daily,vw_cap,3,1926-03-30,-0.00334742835013022
usa,short_term_reversal,daily,vw_cap,3,1926-03-31,0.0127686387609211
usa,short_term_reversal,daily,vw_cap,3,1926-04-01,0.00644967422432149
usa,short_term_reversal,daily,vw_cap,3,1926-04-03,0.00305785418535283
usa,short_term_reversal,daily,vw_cap,3,1926-04-05,0.00102304601590153
usa,short_term_reversal,daily,vw_cap,3,1926-04-06,0.00419281174853999
usa,short_term_reversal,daily,vw_cap,3,1926-04-07,-0.000480883605978687
usa,short_term_reversal,daily,vw_cap,3,1926-04-08,-0.00368749644560283
usa,short_term_reversal,daily,vw_cap,3,1926-04-09,-0.00136411287256727
usa,short_term_reversal,daily,vw_cap,3,1926-04-10,-0.0016744689935841
usa,short_term_reversal,daily,vw_cap,3,1926-04-12,-0.00654851522833323
usa,short_term_reversal,daily,vw_cap,3,1926-04-13,0.00336324184485528
usa,short_term_reversal,daily,vw_cap,3,1926-04-14,-0.00270023385041382
usa,short_term_reversal,daily,vw_cap,3,1926-04-15,-0.00168415132517249
usa,short_term_reversal,daily,vw_cap,3,1926-04-16,-0.000193522316805427
usa,short_term_reversal,daily,vw_cap,3,1926-04-17,-0.000742849342425098
usa,short_term_reversal,daily,vw_cap,3,1926-04-19,-0.00158497963936412
usa,short_term_reversal,daily,vw_cap,3,1926-04-20,-0.000244682509496779
usa,short_term_reversal,daily,vw_cap,3,1926-04-21,0.00665837444191232
usa,short_term_reversal,daily,vw_cap,3,1926-04-22,0.00348712481132243
usa,short_term_reversal,daily,vw_cap,3,1926-04-23,0.00354656693454083
usa,short_term_reversal,daily,vw_cap,3,1926-04-24,0.000914031248970863
usa,short_term_reversal,daily,vw_cap,3,1926-04-26,-0.00519723518836908
usa,short_term_reversal,daily,vw_cap,3,1926-04-27,-0.0000410867776387227
usa,short_term_reversal,daily,vw_cap,3,1926-04-28,-0.00169047479432267
usa,short_term_reversal,daily,vw_cap,3,1926-04-29,0.00159864402384462
usa,short_term_reversal,daily,vw_cap,3,1926-04-30,-0.0026982561135413
usa,short_term_reversal,daily,vw_cap,3,1926-05-01,0.00236870876809391
usa,short_term_reversal,daily,vw_cap,3,1926-05-03,0.00177337115263182
usa,short_term_reversal,daily,vw_cap,3,1926-05-04,-0.000196695458119406
usa,short_term_reversal,daily,vw_cap,3,1926-05-05,-0.00117907605557381
usa,short_term_reversal,daily,vw_cap,3,1926-05-06,-0.000660162137965268
usa,short_term_reversal,daily,vw_cap,3,1926-05-07,-0.00109666258564406
usa,short_term_reversal,daily,vw_cap,3,1926-05-08,0.000208082018414026
usa,short_term_reversal,daily,vw_cap,3,1926-05-10,-0.00159697980731263
usa,short_term_reversal,daily,vw_cap,3,1926-05-11,-0.00134223632870722
usa,short_term_reversal,daily,vw_cap,3,1926-05-12,-0.00340542104836985
usa,short_term_reversal,daily,vw_cap,3,1926-05-13,0.00111919157164634
usa,short_term_reversal,daily,vw_cap,3,1926-05-14,-0.0017798701186527
usa,short_term_reversal,daily,vw_cap,3,1926-05-15,-0.0066294682339058
usa,short_term_reversal,daily,vw_cap,3,1926-05-17,0.000554435142001313
usa,short_term_reversal,daily,vw_cap,3,1926-05-18,-0.002894783655258
usa,short_term_reversal,daily,vw_cap,3,1926-05-19,-0.00037790272086325
usa,short_term_reversal,daily,vw_cap,3,1926-05-20,0.000557658517520866
usa,short_term_reversal,daily,vw_cap,3,1926-05-21,0.0021652126310314
usa,short_term_reversal,daily,vw_cap,3,1926-05-22,0.00203790152825345
usa,short_term_reversal,daily,vw_cap,3,1926-05-24,-0.00265851002043463
usa,short_term_reversal,daily,vw_cap,3,1926-05-25,0.000674446054118825
usa,short_term_reversal,daily,vw_cap,3,1926-05-26,-0.00152549683818485
