location,name,freq,weighting,n_factors,date,ret
usa,value,daily,vw_cap,1,1926-12-01,-0.000245293089977443
usa,value,daily,vw_cap,1,1926-12-02,-0.00225508606738953
usa,value,daily,vw_cap,1,1926-12-03,-0.00104850957192692
usa,value,daily,vw_cap,1,1926-12-04,0.00367400937210387
usa,value,daily,vw_cap,1,1926-12-06,-0.00200768285016974
usa,value,daily,vw_cap,1,1926-12-07,-0.000588797053285641
usa,value,daily,vw_cap,1,1926-12-08,-0.0000399695666068123
usa,value,daily,vw_cap,1,1926-12-09,-0.00200676308761728
usa,value,daily,vw_cap,1,1926-12-10,-0.00192574182707182
usa,value,daily,vw_cap,1,1926-12-11,0.00373142374810747
usa,value,daily,vw_cap,1,1926-12-13,0.00141114804773632
usa,value,daily,vw_cap,1,1926-12-14,0.00195654344987048
usa,value,daily,vw_cap,1,1926-12-15,-0.00166905043295435
usa,value,daily,vw_cap,1,1926-12-16,0.0019907357494806
usa,value,daily,vw_cap,1,1926-12-17,-0.00209671121198101
usa,value,daily,vw_cap,1,1926-12-18,0.000465493914387047
usa,value,daily,vw_cap,1,1926-12-20,-0.00159861883117734
usa,value,daily,vw_cap,1,1926-12-21,0.00272971329709097
usa,value,daily,vw_cap,1,1926-12-22,0.00239708063693161
usa,value,daily,vw_cap,1,1926-12-23,-0.0003507110773702
usa,value,daily,vw_cap,1,1926-12-24,-0.00237449498150727
usa,value,daily,vw_cap,1,1926-12-27,0.00647299229126418
usa,value,daily,vw_cap,1,1926-12-28,0.00367068326736096
usa,value,daily,vw_cap,1,1926-12-29,-0.00148031972467318
usa,value,daily,vw_cap,1,1926-12-30,0.000870112521673718
usa,value,daily,vw_cap,1,1926-12-31,-0.00649758868329674
usa,value,daily,vw_cap,3,1927-01-03,0.00339509127380925
usa,value,daily,vw_cap,3,1927-01-04,0.00104845631782427
usa,value,daily,vw_cap,3,1927-01-05,-0.000561546294633139
usa,value,daily,vw_cap,3,1927-01-06,0.000702244158364141
usa,value,daily,vw_cap,3,1927-01-07,0.000142618007200873
usa,value,daily,vw_cap,3,1927-01-08,-0.0032451857780989
usa,value,daily,vw_cap,3,1927-01-10,-0.00153389887158742
usa,value,daily,vw_cap,3,1927-01-11,-0.00120043477766346
usa,value,daily,vw_cap,3,1927-01-12,0.000737012419103897
usa,value,daily,vw_cap,3,1927-01-13,-0.000905692336366762
usa,value,daily,vw_cap,3,1927-01-14,0.000135805429445958
usa,value,daily,vw_cap,3,1927-01-15,-0.00273968025684149
usa,value,daily,vw_cap,3,1927-01-17,0.000197073463451115
usa,value,daily,vw_cap,3,1927-01-18,0.0018685223437825
usa,value,daily,vw_cap,3,1927-01-19,0.00252649953994085
usa,value,daily,vw_cap,3,1927-01-20,-0.000758163898844213
usa,value,daily,vw_cap,3,1927-01-21,-0.00280329542516319
usa,value,daily,vw_cap,3,1927-01-22,-0.000271481691841476
usa,value,daily,vw_cap,3,1927-01-24,-0.000355023238252306
usa,value,daily,vw_cap,3,1927-01-25,0.00466830001307439
usa,value,daily,vw_cap,3,1927-01-26,-0.000997620562547174
usa,value,daily,vw_cap,3,1927-01-27,0.00105397325427842
usa,value,daily,vw_cap,3,1927-01-28,-0.00205310259284208
usa,value,daily,vw_cap,3,1927-01-29,-0.00352328058728592
usa,value,daily,vw_cap,3,1927-01-31,-0.000713162701349887
usa,value,daily,vw_cap,3,1927-02-01,-0.000414429917111727
usa,value,daily,vw_cap,3,1927-02-02,-0.00117916897937463
usa,value,daily,vw_cap,3,1927-02-03,-0.00205271028257651
usa,value,daily,vw_cap,3,1927-02-04,-0.0043463395139402
usa,value,daily,vw_cap,3,1927-02-05,-0.00203090425196172
usa,value,daily,vw_cap,3,1927-02-07,0.00275580386391997
usa,value,daily,vw_cap,3,1927-02-08,-0.0042467408426871
usa,value,daily,vw_cap,3,1927-02-09,-0.0031959651919232
usa,value,daily,vw_cap,3,1927-02-10,0.000985900880657161
usa,value,daily,vw_cap,3,1927-02-11,0.000398612128554661
usa,value,daily,vw_cap,3,1927-02-14,0.000812143835536965
usa,value,daily,vw_cap,3,1927-02-15,-0.0012987222930099
usa,value,daily,vw_cap,3,1927-02-16,-0.00137195597224976
usa,value,daily,vw_cap,3,1927-02-17,-0.0009877577088625
usa,value,daily,vw_cap,3,1927-02-18,-0.000247708696278262
usa,value,daily,vw_cap,3,1927-02-19,-0.000294805209902574
usa,value,daily,vw_cap,3,1927-02-21,0.00210549827372276
usa,value,daily,vw_cap,3,1927-02-23,-0.00139936295822346
usa,value,daily,vw_cap,3,1927-02-24,0.00141036703524744
usa,value,daily,vw_cap,3,1927-02-25,-0.00154360575221842
usa,value,daily,vw_cap,3,1927-02-26,0.000746021579130772
usa,value,daily,vw_cap,3,1927-02-28,-0.00185320792091501
usa,value,daily,vw_cap,3,1927-03-01,0.00617730363418288
usa,value,daily,vw_cap,3,1927-03-02,0.00272994409044243
usa,value,daily,vw_cap,3,1927-03-03,-0.00391882357422671
usa,value,daily,vw_cap,3,1927-03-04,0.00109135552597511
usa,value,daily,vw_cap,3,1927-03-05,0.000361371492135755
usa,value,daily,vw_cap,3,1927-03-07,0.00415890692543244
usa,value,daily,vw_cap,3,1927-03-08,-0.00178428388772103
usa,value,daily,vw_cap,3,1927-03-09,-0.00215084681701779
usa,value,daily,vw_cap,3,1927-03-10,0.000649054467243309
usa,value,daily,vw_cap,3,1927-03-11,-0.00161345027772616
usa,value,daily,vw_cap,3,1927-03-12,0.00174132239693294
usa,value,daily,vw_cap,3,1927-03-14,0.00413859963833239
usa,value,daily,vw_cap,3,1927-03-15,0.00316945069456702
usa,value,daily,vw_cap,3,1927-03-16,-0.0024913493090827
usa,value,daily,vw_cap,3,1927-03-17,0.00205448282805153
